Step,Validation Loss,Optimizer,Architecture,Attention Type,Weight Tying,Attention Sink
3.0,3.0227551460266113,LION,Dense,Sliding Window,Untied Weights,Standard Attention
4.0,2.992363393306732,LION,Dense,Sliding Window,Untied Weights,Standard Attention
5.0,2.9753801226615906,LION,Dense,Sliding Window,Untied Weights,Standard Attention
0.0,4.63412082195282,LION,Dense,Full Context,Untied Weights,Standard Attention
1.0,2.9981629610061646,LION,Dense,Full Context,Untied Weights,Standard Attention
2.0,3.0344144105911255,LION,Dense,Full Context,Untied Weights,Standard Attention
3.0,2.996400463581085,LION,Dense,Full Context,Untied Weights,Standard Attention
4.0,2.812572884559631,LION,Dense,Full Context,Untied Weights,Standard Attention
5.0,2.7166196703910828,LION,Dense,Full Context,Untied Weights,Standard Attention
6.0,2.6958105087280275,LION,Dense,Full Context,Untied Weights,Standard Attention
0.0,5.042298197746277,LION,Dense,Sliding Window,Untied Weights,Standard Attention
1.0,3.0008699536323546,LION,Dense,Sliding Window,Untied Weights,Standard Attention
2.0,2.9802111387252808,LION,Dense,Sliding Window,Untied Weights,Standard Attention
3.0,2.9779745817184446,LION,Dense,Sliding Window,Untied Weights,Standard Attention
4.0,2.979903185367584,LION,Dense,Sliding Window,Untied Weights,Standard Attention
0.0,4.801680779457092,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
1.0,3.287160360813141,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
2.0,3.2816786766052246,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
3.0,3.300206196308136,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
4.0,3.291939926147461,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
5.0,3.0125454306602477,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
6.0,2.8460182547569275,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
7.0,2.764591193199158,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
8.0,2.739812695980072,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
9.0,2.7264207363128663,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
10.0,2.7254045724868776,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
11.0,2.723574161529541,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
12.0,2.711324656009674,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
13.0,2.714145028591156,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
0.0,4.668262791633606,LION,Dense,Full Context,Tied Weights,Standard Attention
1.0,2.9349239587783815,LION,Dense,Full Context,Tied Weights,Standard Attention
2.0,2.61605761051178,LION,Dense,Full Context,Tied Weights,Standard Attention
3.0,2.5260660529136656,LION,Dense,Full Context,Tied Weights,Standard Attention
0.0,5.197780179977417,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
1.0,3.143351876735687,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
2.0,2.6222703099250793,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
