Architecture,VRAM (GB),Optimizer
MoE,0.141518592,LION
MoE,0.14878208,LION
MoE,0.148177664,LION
MoE,0.147505664,LION
MoE,0.149779712,LION
MoE,0.14881792,LION
MoE,0.14901248,LION
MoE,0.148036096,LION
MoE,0.148402176,LION
MoE,0.149558528,LION
MoE,0.150696448,LION
MoE,0.150540288,LION
Dense,0.090400512,LION
Dense,0.092333056,LION
Dense,0.094846208,LION
Dense,0.094268672,LION
Dense,0.095429888,LION
Dense,0.096836608,LION
MoE,0.18155648,LION
MoE,0.18233728,LION
MoE,0.184690432,LION
MoE,0.185947904,LION
MoE,0.187556096,LION
MoE,0.187970816,LION
MoE,0.189020672,LION
MoE,0.191573504,LION
MoE,0.191113728,LION
MoE,0.194198016,LION
MoE,0.605551104,LION
MoE,0.611848192,LION
MoE,0.615086336,LION
MoE,0.615862016,LION
MoE,0.616775936,LION
MoE,0.614659584,LION
MoE,0.619988992,LION
MoE,0.619629056,LION
MoE,0.619664128,LION
MoE,0.620030464,LION
MoE,0.621912064,LION
MoE,0.626769152,LION
MoE,0.623392,LION
MoE,0.629036544,LION
Dense,0.084896768,LION
Dense,0.089064448,LION
Dense,0.090286592,LION
Dense,0.091374336,LION
Dense,0.092891648,LION
Dense,0.094114816,LION
Dense,0.095097344,LION
MoE,0.605809152,LION
MoE,0.618289152,LION
MoE,0.624283136,LION
MoE,0.625428992,LION
MoE,0.629341696,LION
MoE,0.084832256,ADAFACTOR
MoE,0.086278656,ADAFACTOR
MoE,0.085852672,ADAFACTOR
MoE,0.08811392,ADAFACTOR
MoE,0.087954432,ADAFACTOR
MoE,0.088788736,ADAFACTOR
MoE,0.089295616,ADAFACTOR
MoE,0.124279552,ADAFACTOR
MoE,0.13607296,ADAFACTOR
MoE,0.139466496,ADAFACTOR
MoE,0.142300416,ADAFACTOR
MoE,0.147241984,ADAFACTOR
MoE,0.149626368,ADAFACTOR
MoE,0.151662592,ADAFACTOR
MoE,0.150193408,ADAFACTOR
MoE,0.152795136,ADAFACTOR
MoE,0.154594048,ADAFACTOR
MoE,0.150154752,ADAFACTOR
MoE,0.1509632,ADAFACTOR
Dense,0.205661184,LION
Dense,0.211614464,LION
Dense,0.217870848,LION
Dense,0.223789824,LION
Dense,0.225914624,LION
Dense,0.230477568,LION
Dense,0.229465856,LION
Dense,0.226478592,LION
Dense,0.226711808,LION
Dense,0.225980416,LION
Dense,0.225742848,LION
Dense,0.22459648,LION
Dense,0.230656256,LION
Dense,0.229888256,LION
Dense,0.227772928,LION
Dense,0.229040896,LION
Dense,0.224662272,LION
Dense,0.227269376,LION
Dense,0.231912192,LION
Dense,0.22896384,LION
Dense,0.228780544,LION
Dense,0.228811008,LION
Dense,0.230932992,LION
Dense,0.230462208,LION
Dense,0.233255168,LION
Dense,0.236856832,LION
Dense,0.239454464,LION
Dense,0.238552576,LION
Dense,0.237348352,LION
Dense,0.237889536,LION
Dense,0.24218496,LION
Dense,0.241288448,LION
Dense,0.236264192,LION
Dense,0.240838912,LION
Dense,0.24000384,LION
Dense,0.242505472,LION
Dense,0.239877888,LION
Dense,0.229024768,LION
Dense,0.084929536,LION
Dense,0.087542272,LION
Dense,0.090871808,LION
Dense,0.09225216,LION
Dense,0.093824256,LION
Dense,0.093640704,LION
Dense,0.094475008,LION
Dense,0.0955264,LION
Dense,0.09597184,LION
Dense,0.094735872,LION
MoE,0.241703424,LION
MoE,0.244530176,LION
MoE,0.252699648,LION
MoE,0.251655168,LION
MoE,0.252482304,LION
MoE,0.23668608,LION
MoE,0.243404032,LION
MoE,0.244760064,LION
MoE,0.245307904,LION
MoE,0.24724992,LION
MoE,0.247949312,LION
MoE,0.24864256,LION
MoE,0.25140224,LION
MoE,0.256272896,LION
MoE,0.258426368,LION
MoE,0.269421824,LION
MoE,0.26557824,LION
MoE,0.265265408,LION
MoE,0.262718976,LION
MoE,0.265874176,LION
MoE,0.262612224,LION
MoE,0.26503936,LION
MoE,0.26541312,LION
MoE,0.26446336,LION
MoE,0.267777024,LION
MoE,0.265799936,LION
MoE,0.268006912,LION
MoE,0.267530752,LION
MoE,0.2651008,LION
Dense,0.081882624,LION
Dense,0.0846528,LION
Dense,0.087740928,LION
Dense,0.087361536,LION
Dense,0.09211648,LION
Dense,0.095805696,LION
Dense,0.095363328,LION
Dense,0.2079936,LION
Dense,0.21770624,LION
Dense,0.228141568,LION
Dense,0.22269696,LION
Dense,0.232038912,LION
Dense,0.231311104,LION
Dense,0.234710016,LION
Dense,0.23807744,LION
Dense,0.241382144,LION
Dense,0.235702272,LION
MoE,0.308124928,ADAFACTOR
MoE,0.314320384,ADAFACTOR
MoE,0.318418176,ADAFACTOR
MoE,0.318998272,ADAFACTOR
MoE,0.316929024,ADAFACTOR
MoE,0.319408384,ADAFACTOR
MoE,0.316851456,ADAFACTOR
MoE,0.323678464,ADAFACTOR
MoE,0.325890304,ADAFACTOR
MoE,0.328964864,ADAFACTOR
MoE,0.329740032,ADAFACTOR
MoE,0.329555968,ADAFACTOR
MoE,0.335446784,ADAFACTOR
MoE,0.333660928,ADAFACTOR
MoE,0.610447872,LION
MoE,0.619739392,LION
MoE,0.622898432,LION
MoE,0.624063744,LION
MoE,0.633387008,LION
MoE,0.634580736,LION
Dense,0.08508928,LION
Dense,0.088872448,LION
Dense,0.090412032,LION
Dense,0.091359488,LION
Dense,0.094216448,LION
Dense,0.093521408,LION
Dense,0.095253248,LION
Dense,0.0982976,LION
Dense,0.097795328,LION
Dense,0.096559104,LION
Dense,0.096836096,LION
Dense,0.097062144,LION
Dense,0.09848064,LION
Dense,0.098443008,LION
Dense,0.09899136,LION
Dense,0.09889536,LION
Dense,0.096960256,LION
Dense,0.097059072,LION
Dense,0.096810496,LION
Dense,0.096518656,LION
Dense,0.096701696,LION
Dense,0.097061888,LION
Dense,0.099755264,LION
Dense,0.101285632,LION
Dense,0.100864256,LION
Dense,0.10287616,LION
Dense,0.102830592,LION
Dense,0.102683648,LION
Dense,0.206649088,LION
Dense,0.21090816,LION
Dense,0.21703424,LION
Dense,0.225425152,LION
Dense,0.229647104,LION
Dense,0.236600832,LION
Dense,0.247273216,LION
Dense,0.243095552,LION
Dense,0.248484608,LION
Dense,0.252338432,LION
Dense,0.248937984,LION
Dense,0.247015168,LION
Dense,0.245506816,LION
Dense,0.245507328,LION
MoE,0.241556992,LION
MoE,0.243576832,LION
MoE,0.257397248,LION
MoE,0.260269824,LION
MoE,0.2599168,LION
MoE,0.266657792,LION
MoE,0.267775744,LION
Dense,0.066074368,LION
Dense,0.070061312,LION
Dense,0.070893312,LION
Dense,0.073149952,LION
Dense,0.072866816,LION
Dense,0.074553344,LION
Dense,0.074800896,LION
Dense,0.07451264,LION
Dense,0.074839296,LION
Dense,0.078456064,LION
Dense,0.076638208,LION
Dense,0.076425984,LION
Dense,0.159620096,ADAFACTOR
Dense,0.177086464,ADAFACTOR
Dense,0.17777024,ADAFACTOR
Dense,0.179132672,ADAFACTOR
Dense,0.178848512,ADAFACTOR
Dense,0.176973824,ADAFACTOR
Dense,0.188534016,ADAFACTOR
Dense,0.18958464,ADAFACTOR
Dense,0.186147072,ADAFACTOR
Dense,0.191483904,ADAFACTOR
Dense,0.208685824,ADAFACTOR
Dense,0.212693248,ADAFACTOR
Dense,0.223510272,ADAFACTOR
Dense,0.22169472,ADAFACTOR
Dense,0.202046208,LION
Dense,0.210497792,LION
Dense,0.210312448,LION
Dense,0.217399296,LION
Dense,0.212147712,LION
Dense,0.217594368,LION
Dense,0.232686592,LION
Dense,0.198380544,LION
Dense,0.203356672,LION
Dense,0.204076544,LION
Dense,0.20519552,LION
Dense,0.204978944,LION
Dense,0.20629632,LION
Dense,0.204770304,LION
Dense,0.205553408,LION
Dense,0.207597824,LION
Dense,0.20678272,LION
Dense,0.207274496,LION
Dense,0.211868672,LION
Dense,0.102066176,ADAMW
Dense,0.10265856,ADAMW
Dense,0.106479104,ADAMW
Dense,0.109086976,ADAMW
Dense,0.109161472,ADAMW
Dense,0.109558272,ADAMW
Dense,0.111284224,ADAMW
Dense,0.160382208,ADAFACTOR
Dense,0.168232448,ADAFACTOR
Dense,0.175339776,ADAFACTOR
Dense,0.180846592,ADAFACTOR
Dense,0.176361216,ADAFACTOR
Dense,0.187410944,ADAFACTOR
Dense,0.186739968,ADAFACTOR
Dense,0.185666304,ADAFACTOR
Dense,0.180532992,ADAFACTOR
