alpha_balance,batch_size,context_window,dim,dropout_rate,epochs,expansion,grad_accum,kv_heads,lr,max_context,n_experts,no_sink,num_blocks,optimizer,pos_encoding,sliding_window,tokenizer_type,top_k_mlp,use_moe,use_swiglu,warmup_steps,weight_tying,val_loss,ms_per_step,vram_gb,effective_batch_size
,32,32.0,256,0.15,24,4,8,2,0.0006683827787620297,256,,False,16,adafactor,rotary,True,char,,False,False,50,True,2.0423797011375426,333.20878982543945,0.081858304,256
,64,64.0,768,0.2702519645939222,24,4,4,4,0.0017824011224765713,384,,True,20,lion,absolute,True,char,,False,False,133,True,2.9772254467010497,1527.0867586135864,1.20249984,256
0.08233579933870376,32,,256,0.0,24,4,8,4,0.00015819119469385258,256,4.0,True,16,adafactor,rotary,False,char,2.0,True,True,50,False,2.1623979687690733,552.4080181121826,0.254533632,256
0.1901005786470464,64,64.0,384,0.13739209670835936,24,2,8,4,0.000104561014281161,256,4.0,True,8,adamw,absolute,True,bpe,4.0,True,True,22,False,7.104476952552796,554.3521738052368,0.440457728,512
,64,,256,0.15,24,2,8,4,0.00030470736901145256,256,,False,8,lion,rotary,False,char,,False,False,100,True,1.993752235174179,368.5941791534424,0.043947776,512
0.05698853416149308,24,96.0,512,0.24374025131991045,24,8,2,2,0.0011980971680637888,256,16.0,True,10,adamw,absolute,True,char,1.0,True,False,237,True,4.843900561332703,0.0,8.186311424,48
,8,48.0,256,0.2505768923085108,24,4,4,2,0.006247504975943332,192,,False,8,adamw,rotary,True,char,,False,False,92,False,2.3507439136505126,103.1159496307373,0.10609792,32
0.2606891281942184,32,96.0,128,0.10579275270851515,24,8,1,2,0.0015012771133119638,256,6.0,False,8,adamw,rotary,True,bpe,1.0,True,False,290,False,5.317416882514953,641.5143156051636,0.180632576,32
0.2973287143155585,24,96.0,512,0.2671281535103083,24,6,3,2,0.0013180587316990071,256,12.0,True,14,adamw,absolute,True,char,4.0,True,False,266,True,2.9514021277427673,1197.8506803512573,6.702093312,72
0.08608390576909158,64,32.0,512,0.15,24,4,8,4,0.0007448809967059871,512,6.0,False,12,lion,rotary,True,char,2.0,True,False,200,False,2.410899448394775,2009.8564672470093,1.396866304,512
,64,32.0,512,0.1,24,4,8,4,0.00041484524103660057,256,,True,12,lion,rotary,True,char,,False,False,50,False,1.8134934902191162,431.7590856552124,0.323942912,512
0.12501947887334414,24,96.0,512,0.06702792988064754,24,6,3,4,0.0012759920198211136,256,2.0,True,10,adafactor,absolute,True,char,2.0,True,True,179,False,2.4775274276733397,486.25423431396484,0.492581888,72
,8,48.0,256,0.1047960920422216,24,8,4,2,7.442520911372446e-05,256,,True,16,adafactor,rotary,True,bpe,,False,True,73,True,7.019711017608643,302.49682426452637,0.160213248,32
0.06927845346187832,48,48.0,512,0.053185166185499795,24,6,2,8,1.6487309887034385e-05,256,12.0,False,16,adafactor,rotary,True,bpe,2.0,True,True,103,False,7.844401931762695,2427.264504432678,3.761510912,96
0.2037390319550212,32,48.0,768,0.2639494628350165,24,2,1,2,2.8014098354222847e-05,384,16.0,False,10,lion,rotary,True,bpe,1.0,True,False,88,False,6.579345917701721,1317.924199104309,3.259417856,32
